event_id,symbol,transaction_type,quantity
evt-0001,RELIANCE,BUY,90
evt-0002,TCS,SELL,75
evt-0003,HDFCBANK,BUY,60
evt-0004,ICICIBANK,SELL,45
evt-0005,INFY,BUY,30
evt-0006,BHARTIARTL,SELL,15
evt-0007,SBIN,BUY,100
evt-0008,LT,SELL,85
evt-0009,ITC,BUY,70
evt-0010,HINDUNILVR,SELL,55
evt-0011,AXISBANK,BUY,40
evt-0012,KOTAKBANK,SELL,25
evt-0013,BAJFINANCE,BUY,10
evt-0014,MARUTI,SELL,95
evt-0015,SUNPHARMA,BUY,80
evt-0016,NTPC,SELL,65
evt-0017,TATAMOTORS,BUY,50
evt-0018,TATASTEEL,SELL,35
evt-0019,ADANIENT,BUY,20
evt-0020,ASIANPAINT,SELL,5
evt-0021,RELIANCE,BUY,90
evt-0022,TCS,SELL,75
evt-0023,HDFCBANK,BUY,60
evt-0024,ICICIBANK,SELL,45
evt-0025,INFY,BUY,30
evt-0026,BHARTIARTL,SELL,15
evt-0027,SBIN,BUY,100
evt-0028,LT,SELL,85
evt-0029,ITC,BUY,70
evt-0030,HINDUNILVR,SELL,55
evt-0031,AXISBANK,BUY,40
evt-0032,KOTAKBANK,SELL,25
evt-0033,BAJFINANCE,BUY,10
evt-0034,MARUTI,SELL,95
evt-0035,SUNPHARMA,BUY,80
evt-0036,NTPC,SELL,65
evt-0037,TATAMOTORS,BUY,50
evt-0038,TATASTEEL,SELL,35
evt-0039,ADANIENT,BUY,20
evt-0040,ASIANPAINT,SELL,5
evt-0041,RELIANCE,BUY,90
evt-0042,TCS,SELL,75
evt-0043,HDFCBANK,BUY,60
evt-0044,ICICIBANK,SELL,45
evt-0045,INFY,BUY,30
evt-0046,BHARTIARTL,SELL,15
evt-0047,SBIN,BUY,100
evt-0048,LT,SELL,85
evt-0049,ITC,BUY,70
evt-0050,HINDUNILVR,SELL,55
evt-0051,AXISBANK,BUY,40
evt-0052,KOTAKBANK,SELL,25
evt-0053,BAJFINANCE,BUY,10
evt-0054,MARUTI,SELL,95
evt-0055,SUNPHARMA,BUY,80
evt-0056,NTPC,SELL,65
evt-0057,TATAMOTORS,BUY,50
evt-0058,TATASTEEL,SELL,35
evt-0059,ADANIENT,BUY,20
evt-0060,ASIANPAINT,SELL,5
evt-0061,RELIANCE,BUY,90
evt-0062,TCS,SELL,75
evt-0063,HDFCBANK,BUY,60
evt-0064,ICICIBANK,SELL,45
evt-0065,INFY,BUY,30
evt-0066,BHARTIARTL,SELL,15
evt-0067,SBIN,BUY,100
evt-0068,LT,SELL,85
evt-0069,ITC,BUY,70
evt-0070,HINDUNILVR,SELL,55
evt-0071,AXISBANK,BUY,40
evt-0072,KOTAKBANK,SELL,25
evt-0073,BAJFINANCE,BUY,10
evt-0074,MARUTI,SELL,95
evt-0075,SUNPHARMA,BUY,80
evt-0076,NTPC,SELL,65
evt-0077,TATAMOTORS,BUY,50
evt-0078,TATASTEEL,SELL,35
evt-0079,ADANIENT,BUY,20
evt-0080,ASIANPAINT,SELL,5
evt-0081,RELIANCE,BUY,90
evt-0082,TCS,SELL,75
evt-0083,HDFCBANK,BUY,60
evt-0084,ICICIBANK,SELL,45
evt-0085,INFY,BUY,30
evt-0086,BHARTIARTL,SELL,15
evt-0087,SBIN,BUY,100
evt-0088,LT,SELL,85
evt-0089,ITC,BUY,70
evt-0090,HINDUNILVR,SELL,55
evt-0091,AXISBANK,BUY,40
evt-0092,KOTAKBANK,SELL,25
evt-0093,BAJFINANCE,BUY,10
evt-0094,MARUTI,SELL,95
evt-0095,SUNPHARMA,BUY,80
evt-0096,NTPC,SELL,65
evt-0097,TATAMOTORS,BUY,50
evt-0098,TATASTEEL,SELL,35
evt-0099,ADANIENT,BUY,20
evt-0100,ASIANPAINT,SELL,5
evt-0101,RELIANCE,BUY,90
evt-0102,TCS,SELL,75
evt-0103,HDFCBANK,BUY,60
evt-0104,ICICIBANK,SELL,45
evt-0105,INFY,BUY,30
evt-0106,BHARTIARTL,SELL,15
evt-0107,SBIN,BUY,100
evt-0108,LT,SELL,85
evt-0109,ITC,BUY,70
evt-0110,HINDUNILVR,SELL,55
evt-0111,AXISBANK,BUY,40
evt-0112,KOTAKBANK,SELL,25
evt-0113,BAJFINANCE,BUY,10
evt-0114,MARUTI,SELL,95
evt-0115,SUNPHARMA,BUY,80
evt-0116,NTPC,SELL,65
evt-0117,TATAMOTORS,BUY,50
evt-0118,TATASTEEL,SELL,35
evt-0119,ADANIENT,BUY,20
evt-0120,ASIANPAINT,SELL,5
evt-0121,RELIANCE,BUY,90
evt-0122,TCS,SELL,75
evt-0123,HDFCBANK,BUY,60
evt-0124,ICICIBANK,SELL,45
evt-0125,INFY,BUY,30
evt-0126,BHARTIARTL,SELL,15
evt-0127,SBIN,BUY,100
evt-0128,LT,SELL,85
evt-0129,ITC,BUY,70
evt-0130,HINDUNILVR,SELL,55
evt-0131,AXISBANK,BUY,40
evt-0132,KOTAKBANK,SELL,25
evt-0133,BAJFINANCE,BUY,10
evt-0134,MARUTI,SELL,95
evt-0135,SUNPHARMA,BUY,80
evt-0136,NTPC,SELL,65
evt-0137,TATAMOTORS,BUY,50
evt-0138,TATASTEEL,SELL,35
evt-0139,ADANIENT,BUY,20
evt-0140,ASIANPAINT,SELL,5
evt-0141,RELIANCE,BUY,90
evt-0142,TCS,SELL,75
evt-0143,HDFCBANK,BUY,60
evt-0144,ICICIBANK,SELL,45
evt-0145,INFY,BUY,30
evt-0146,BHARTIARTL,SELL,15
evt-0147,SBIN,BUY,100
evt-0148,LT,SELL,85
evt-0149,ITC,BUY,70
evt-0150,HINDUNILVR,SELL,55
evt-0151,AXISBANK,BUY,40
evt-0152,KOTAKBANK,SELL,25
evt-0153,BAJFINANCE,BUY,10
evt-0154,MARUTI,SELL,95
evt-0155,SUNPHARMA,BUY,80
evt-0156,NTPC,SELL,65
evt-0157,TATAMOTORS,BUY,50
evt-0158,TATASTEEL,SELL,35
evt-0159,ADANIENT,BUY,20
evt-0160,ASIANPAINT,SELL,5
evt-0161,RELIANCE,BUY,90
evt-0162,TCS,SELL,75
evt-0163,HDFCBANK,BUY,60
evt-0164,ICICIBANK,SELL,45
evt-0165,INFY,BUY,30
evt-0166,BHARTIARTL,SELL,15
evt-0167,SBIN,BUY,100
evt-0168,LT,SELL,85
evt-0169,ITC,BUY,70
evt-0170,HINDUNILVR,SELL,55
evt-0171,AXISBANK,BUY,40
evt-0172,KOTAKBANK,SELL,25
evt-0173,BAJFINANCE,BUY,10
evt-0174,MARUTI,SELL,95
evt-0175,SUNPHARMA,BUY,80
evt-0176,NTPC,SELL,65
evt-0177,TATAMOTORS,BUY,50
evt-0178,TATASTEEL,SELL,35
evt-0179,ADANIENT,BUY,20
evt-0180,ASIANPAINT,SELL,5
evt-0181,RELIANCE,BUY,90
